1431-11-15L0	왕실-의식(儀式) 외교-유구(琉球) 교육-인문교육(人文敎育) 행정-지방행정(地方行政) 
1431-11-15L0	교통-육운(陸運) 
1431-11-15L0	호구-이동(移動) 외교-명(明) 행정-지방행정(地方行政) 
1431-11-19L0	외교-명(明) 행정-지방행정(地方行政) 교육-특수교육(特殊敎育) 군사-관방(關防) 군사-중앙군(中央軍) 
1431-12-02L0	외교-명(明) 외교-야(野) 
1431-12-05L0	외교-명(明) 재정-창고(倉庫) 인사-관리(管理) 정론-정론(政論) 구휼(救恤) 
1431-12-11L0	외교-명(明) 인사-관리(管理) 행정-중앙행정(中央行政) 
1431-12-20L0	인물(人物) 인사-관리(管理) 인사-임면(任免) 외교-명(明) 농업-전제(田制) 농업-수리(水利) 왕실-종사(宗社) 역사-고사(故事) 
1431-12-23L0	외교-명(明) 
1431-12-24L0	사법-재판(裁判) 
1431-12-24L0	과학-천기(天氣) 외교-명(明) 왕실-의식(儀式) 왕실-종사(宗社) 교육-특수교육(特殊敎育) 역사-고사(故事) 풍속-예속(禮俗) 재정-공물(貢物) 
1432-01-13L0	왕실-비빈(妃嬪) 풍속-예속(禮俗) 
1432-01-18L0	왕실-종사(宗社) 왕실-국왕(國王) 
1432-01-19L0	출판-서책(書冊) 
1432-02-01L0	왕실-의식(儀式) 사법-재판(裁判) 사법-행형(行刑) 인사-관리(管理) 외교-명(明) 
1432-02-06L0	출판-인쇄(印刷) 
1432-02-11L0	출판-인쇄(印刷) 
1432-02-12L0	사법-행형(行刑) 사법-치안(治安) 
1432-02-15L0	인사-임면(任免) 정론-정론(政論) 인물(人物) 
1432-03-03L0	인사-선발(選拔) 가족-가족(家族) 윤리(倫理) 역사-고사(故事) 
1432-03-08L0	사법-행형(行刑) 사법-치안(治安) 외교-왜(倭) 
1432-03-14L0	인사-선발(選拔) 가족-가족(家族) 인물(人物) 
1432-03-15L0	신분-천인(賤人) 행정-중앙행정(中央行政) 왕실-종사(宗社) 
1432-03-25L0	신분(身分) 사법-법제(法制) 인사-관리(管理) 가족-가족(家族) 
1432-03-27L0	신분(身分) 사법-법제(法制) 
1432-03-27L0	외교-명(明) 재정-창고(倉庫) 재정-국용(國用) 
1432-03-28L0	왕실-경연(經筵) 예술-음악(音樂) 예술-무용(舞踊) 역사-고사(故事) 의생활(衣生活) 
1432-04-02L0	왕실-종사(宗社) 왕실-의식(儀式) 
1432-04-03L0	외교-명(明) 
1432-04-12L0	과학-지학(地學) 군사-부방(赴防) 군사-관방(關防) 군사-통신(通信) 군사-군역(軍役) 군사-군정(軍政) 군사-금화(禁火) 외교-명(明) 외교-야(野) 농업-전제(田制) 행정-지방행정(地方行政) 교통-육운(陸運) 호구(戶口) 
1432-04-12L0	구휼(救恤) 인사-선발(選拔) 인사-관리(管理) 사법-탄핵(彈劾) 사법-법제(法制) 군사-병참(兵站) 재정-창고(倉庫) 정론-정론(政論) 
1432-04-13L0	교통-육운(陸運) 외교-명(明) 
1432-04-16L0	인사-선발(選拔) 
1432-04-18L0	풍속-예속(禮俗) 인사-관리(管理) 왕실-사급(賜給) 역사-고사(故事) 왕실-비빈(妃嬪) 
1432-04-22L0	왕실-의식(儀式) 교통-수운(水運) 외교-명(明) 
1432-04-22L0	인사-임면(任免) 인사-관리(管理) 군사-군기(軍器) 왕실-사급(賜給) 
1432-04-24L0	인사-관리(管理) 
1432-04-25L0	인사-관리(管理) 행정-지방행정(地方行政) 왕실-사급(賜給) 왕실-의식(儀式) 
1432-05-02L0	예술-음악(音樂) 예술-무용(舞踊) 의생활(衣生活) 사법-법제(法制) 
1432-05-14L0	왕실-의식(儀式) 인사-임면(任免) 가족-친족(親族) 
1432-05-14L0	외교-명(明) 재정-국용(國用) 과학-천기(天氣) 무역(貿易) 
1432-05-17L0	인사-임면(任免) 
1432-05-21L0	외교-명(明) 
1432-05-28L0	외교-명(明) 무역(貿易) 
1432-06-03L0	왕실-종사(宗社) 외교-명(明) 무역(貿易) 
1432-06-14L0	왕실-의식(儀式) 출판-서책(書冊) 출판-인쇄(印刷) 
1432-06-16L0	역사-편사(編史) 사법-법제(法制) 
1432-06-18L0	사법-재판(裁判) 사법-행형(行刑) 사법-법제(法制) 윤리-사회기강(社會紀綱) 외교-명(明) 무역(貿易) 
1432-06-19L0	사법-재판(裁判) 사법-행형(行刑) 신분-신분변동(身分變動) 윤리-사회기강(社會紀綱) 
1432-06-25L0	사법-행형(行刑) 사법-탄핵(彈劾) 인사-임면(任免) 인사-관리(管理) 외교-명(明) 왕실-종친(宗親) 왕실-사급(賜給) 군사-군역(軍役) 군사-지방군(地方軍) 
1432-06-27L0	군사-군역(軍役) 호구-호구(戶口) 가족-가산(家産) 
1432-07-04L0	사법-탄핵(彈劾) 사법-행형(行刑) 사법-법제(法制) 인사-임면(任免) 
1432-07-07L0	교통-육운(陸運) 인사-임면(任免) 
1432-07-19L0	외교-왜(倭) 
1432-07-27L0	군사-관방(關防) 군사-군역(軍役) 재정-역(役) 인사-임면(任免) 인사-관리(管理) 외교-명(明) 사법-행형(行刑) 
1432-08-01L0	왕실-의식(儀式) 윤리(倫理) 
1432-08-02L0	왕실-의식(儀式) 사상-불교(佛敎) 
1432-08-10L0	역사-편사(編史) 출판-서책(書冊) 
1432-08-16L0	외교-명(明) 외교-야(野) 풍속-예속(禮俗) 
1432-08-28L0	예술-음악(音樂) 출판-서책(書冊) 역사-고사(故事) 
1432-08-28L0	외교-야(野) 
